	Error_type	File	Next_position	Previous_positions	Real_position	Supposed_position
0	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per0.txt.gz	75654	74972	75298	9762
1	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per0.txt.gz	13970	13891	13910	1622
2	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per0.txt.gz	116738	116637	116665	18361
3	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per0.txt.gz	194912	194381	194647	63575
4	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per0.txt.gz	130297	130147	130231	31927
5	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per0.txt.gz	126604	126030	126277	27973
6	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per0.txt.gz	181631	181003	181406	50334
7	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per0.txt.gz	137814	137658	137729	6657
8	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per2.txt.gz	81952	81818	81898	16362
9	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per2.txt.gz	130457	130297	130383	32079
10	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per2.txt.gz	11715	11030	11348	3156
11	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per2.txt.gz	79043	78414	78713	13177
12	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per2.txt.gz	148978	148340	148668	17596
13	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per2.txt.gz	118916	118792	118846	20542
14	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per2.txt.gz	129920	129769	129852	31548
15	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per2.txt.gz	41438	40800	41091	8323
16	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per2.txt.gz	96234	96100	96156	30620
17	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per2.txt.gz	118721	118567	118639	20335
18	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per2.txt.gz	140541	140414	140485	9413
19	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per2.txt.gz	140275	140158	140214	9142
20	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per2.txt.gz	17460	16817	17143	759
21	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per2.txt.gz	14873	14770	14831	2543
22	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per2.txt.gz	195730	195205	195472	64400
23	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per2.txt.gz	82259	82118	82165	16629
24	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per6.txt.gz	172863	172737	172795	41723
25	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per6.txt.gz	135474	135387	135451	4379
26	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per6.txt.gz	156904	156432	156684	25612
27	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per6.txt.gz	34403	33830	34091	1323
28	Position	/mnt/e/1000genome/pydeepgenomics/pydeepgenomics/preprocess/examples/playground/encoded_files/1/per6.txt.gz	50563	50388	50471	1319
